id,ara,siz,sex,age,Q2,Q3,Q4,a15,a16,a17,a18,Q5_1,Q5_5,Q5_2,Q5_3,Q5_9,Q6,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,a34,Q11,Q12,a37,a39,a41,Q13,Q14,Q15,a45,a46,a47,a48,a49,a50,a51,a52,a53,a54,a55,a56,a57,a58,a59,a60,a61,a62,a63,a64,Q18,a67,a68,Q19_1,Q19_2,Q19_3,Q19_4,Q20,a74,a75,a76,a77,Q21,Q22,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q25_1,Q25_2,Q25_3,Q25_4,Q26_1,Q26_2,Q26_3,Q26_4,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,Q27,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,mar,rel,edc,job,inc,b57,b58,b59,b60
1,1,1,2,60,2,2,3,3,3,2,2,3,3,2,3,2,1,3,3,5,3,4,4,3,4,3,3,1,4,9,3,4,1,2,4,3,3,4,4,2,2,2,1,2,1,1,1,2,2,2,3,2,3, ,3,3,2,3,3,3,4,1,1,2,2,2,1,3,1,1,2,3,3,1,3,2,2,3,3,3,4,2,3,1,2,2,2,3,3,2,2,3,1,1,1,2,2,3,3,2,2,3,2,2,2,2,2,2,2,3,4,5,3,2,3,3,9,4,2,3,1,2
2,1,1,2,60,1,2,6,2,2,2,2,2,3,2,3,3,1,2,3,1,1,1,1,3,3,3,1,2,2,7,3,3,2,2,3,3,3,3,3,2,2,2,1,2,1,1,2,2,2,2,2,2,3, ,2,2,2,3,3,2,2,1,2,2,3,2,1,3,1,1,3,3,3,1,3,2,3,3,3,3,3,2,2,1,5,2,2,3,3,2,1,3,1,1,1,1,2,2,2,3,4,3,1,1,3,4,1,2,3,4,4,1,3,2,3,3,9,5,3,4,1,8
3,1,1,2,64,1,1,5,2,2,2,2,2,2,2,2,2,1,3,3,4,5,4,5,3,2,3,4,4,2,7,4,4,2,3,4,2,4,4,4,4,2,2,2,2,2,2,2,2,2,3,3,3,3, ,4,3,2,2,3,3,3,2,2,2,3,3,1,3,1,3,3,3,3,4,4,4,4,3,3,3,3,3, ,1,3,3,3,3,3,3,2,2,1,1,1,1,2,2,3,3,4,4,2,3,3,3,1,1,2,3,4,5,2,2,2,1,2,1,5,6,5,13
4,1,1,1,61,1,2,2,3,2,2,2,2,2,2,3,3,1,3,4,1,1,2,1,2,2,3,1,4,2,6,3,4,3,2,3,3,2,3,4,4,2,2,2,2,1,1,1,2,2,2,2,2,4,3,4,4,3,2,2,1,2,2,3,3,3,3,1,3,4,1,2,2,2,1,3,2,2,3,3,3,3,2,3,3,1,1,3,3,5,3,1,3,1,1,1,1,2,2,2,3,3,3,2,3,3,3,2,1,3,4,5,5,3,5,1,4,6,3,3,4,1,14
5,1,1,1,65,2,1,3,2,2,2,2,2,9,2,3,1,1,3,3,2,2,4,3,4,4,9,1,4,1,5,4,3,3,4,4,3,2,4,4,4,2,2,2,2,1,1,1,3,3,3,4,3,3, ,3,3,2,3,3,3,3,1,3,3,3,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,4,1,3,3,2,4,3,1,1,3,1,1,1,1,3,2,2,2,3,3,2,3,4,4,1,1,2,2,2,1,3,2,98,2,2,2,5,5,2,13
6,1,1,1,60,3,2,4,2,1,2,1,1,1,1,3,2,1,2,3,4,3,3,4,3,2,3,3,2,3,6,3,4,2,2,4,4,1,1,4,3,2,2,2,2,1,1,1,2,2,2,2,2,4,1,3,3,3,3,4,3,4,1,3,2,3,2,1,2,1,1,2,2,2,1,4,2,2,3,4,4,4,1,4,3,1,2,2,2,2,1,1,3,1,2,2,2,2,2,2,2,4,3,2,2,3,3,3,2,3,3,5,4,3,5,3,3,5,1,4,5,1,1
7,1,1,1,63,4,4,5,3,3,2,3,4,4,4,4,4,1,4,4,5,5,5,5,5,5,3,3,5,1,4,4,4,4,1,4,4,3,4,4,3,2,1,2,2,1,1,1,1,1,1,1,3,3, ,3,3,2,3,3,3,3,3,2,3,3,3,4,3,4,2,4,2,2,3,4,4,4,3,3,3,3,4, ,3,5,5,5,5,5,5,2,5,1,1,1,1,1,1,3,4,5,4,2,4,4,4,1,1,1,3,5,5,1,2,2,2,12,9,3,4,1,12
8,1,1,1,59,1,2,4,3,2,1,2,3,1,2,4,1,1,2,3,4,4,3,3,2,2,3,1,2,2,5,3,4,4,1,1,1,1,1,2,2,2,2,1,2,1,1,1,2,2,1,2,3,5,2,4,4,3,4,3,2,3,2,3,2,3,2,1,4,1,1,2,3,3,1,3,2,2,2,4,4,3,1,3,3,1,2,3,3,3,3,1,4,2,1,1,2,3,3,3,3,4,4,2,3,3,4,2,2,3,3,4,4,2,2,1,4,2,5,2,3,3,1
9,1,1,1,50,3,2,6,4,3,3,2,2,2,4,2,3,1,4,4,5,5,4,5,4,4,1,1,4,1,4,4,4,3,2,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,3,3,5,3,3,4,3,3,3,2,1,1,3,3,3,3,1,3,1,1,3,3,3,1,4,3,3,3,3,4,4,2,2,3,2,2,2,2,2,2,2,3,1,1,2,2,3,3,2,4,3,3,2,3,4,4,1,2,2,2,4,5,3,2,98,3,2,2,4,4,6,1
10,1,1,1,50,3,2,4,2,2,2,2,2,2,3,3,2,1,2,2,4,4,4,4,3,4,2,1,2,3,7,3,3,2,3,4,3,3,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,3, ,3,3,3,3,3,3,3,1,3,2,3,3,1,3,1,1,1,1,1,1,3,2,2,3,3,3,3,1,4,3,2,2,3,2,2,2,2,3,1,1,2,2,2,3,3,2,3,3,2,2,2,3,3,3,4,4,4,3,2,2,98,4,2,5,3,3,2,11
11,1,1,1,50,1,2,2,1,2,2,2,2,2,2,3,2,1,2,2,2,4,2,3,4,4,2,1,1,3,7,3,3,2,3,4,3,3,4,4,4,2,2,2,2,1,2,2,2,2,2,2,2,3, ,3,3,3,3,3,3,3,1,3,2,3,3,1,3,1,1,1,1,1,1,3,2,2,3,3,3,3,1,4,3,2,2,3,2,3,3,2,3,2,2,2,2,3,3,3,2,3,3,1,1,2,3,1,1,3,3,5,5,3,2,1,3,8,3,3,4,1,1
