id,ara,siz,sex,age,job,b06,b07,b08,b09,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b34,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,c06,c07,c08,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,mar,edc,inc,c66,c67,c68,c69,xara,dc45,wt,rel
1,1,2,2,2,5,1,1,4,1,1,2,1,3,3,2,2,3,3,1,1,1,2,4,2,3,2,1,3,1,1,1,4,3,2,2,4,4,3,3,4,4,3,2,2,2,2,1,1,1,1,3,3,2,4,2,2, ,1,4,4,1,3,1,5,5,4,2,5,5,5,5,1,2,2,4,2,3,4,1,1,3,3,3,1,3,2,3,4,4,4,4,2,2,2,2,2,1,2,4,4,2,1,1,1,2,2,1,1,1,2,1,2,2,3,2,4,2,1,1,1,1,2,3,99,4,4,1,14,8,1,.975609756097561,3
2,1,2,2,4,5,2,2,3,2,2,2,2,3,2,3,3,3,2,1,3,4,4,5,4,5,4,4,3,1,2,1,5,4,4,4,4,3,3,3,4,4,3,2,2,2,2,1,1,1,3,3,4,1,4,3,3, ,3,3,4,5,2,2,3,4,4,3,2,2,2,1,2,3,3,2,1,4,2,2,2,3,1,2,4,4,4,4,4,4,4,4,2,2,2,2,2,3,5,2,2,3,3,2,2,1,2,1,2,1,2,2,2,2,3,4,4,3,1,1,1,2,2,3,3,3,3,2,1,8,3,1.125,98
3,1,2,2,4,2,3,2,6,3,3,3,3,3,3,4,3,3,3,1,3,4,4,4,4,4,4,4,3,1,2,1,10,3,4,3,3,4,3,3,4,4,3,2,2,2,2,1,1,1,3,3,3,2,3,3,3, ,3,3,3,3,3,3,4,3,1,2,5,5,5,5,1,3,4,3,1,1,2,2,1,3,2,2,1,4,3,3,4,4,4,4,2,1,2,2,2,3,2,2,2,3,2,2,2,1,3,1,3,1,3,2,3,3,4,3,2,1,3,3,3,4,2,2,3,2,2,2,10,8,2,1.125,98
4,1,2,1,2,3,1,2,5,2,1,1,1,2,1,1,3,1,1,1,1,3,5,3,1,4,5,5,2,1,2,1,3,2,3,1,4,4,2,2,4,4,2,2,2,1,2,1,1,1,2,2,4,1,3,3,2, ,1,3,4,1,4,2,4,4,2,2,5,5,5,5,1,1,1,4,3,1,3,1,1,3,2,1,1,3,3,3,4,4,4,4,1,1,2,2,2,3,3,5,5,1,1,1,1,2,2,1,1,1,2,3,2,4,2,2,4,3,1,1,2,1,2,2,3,3,4,1,8,8,1,1,98
5,1,2,2,2,3,3,2,5,2,2,2,2,2,2,2,3,2,2,3,3,3,4,4,5,5,5,4,3,1,1,4,7,3,3,3,2,3,3,3,2,3,3,2,2,2,2,1,1,1,2,1,2,1,2,3,3, ,2,4,3,2,1,4,3,3,1,3,4,4,3,1,1,2,2,3,2,1,2,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,3,2,1,2,1,1,2,2,2,3,3,4,2,1,2,2,1,2,3,1,4,4,2,13,8,2,.975609756097561,2
6,1,2,2,2,5,3,3,5,3,4,3,3,3,4,3,4,3,2,1,3,4,4,5,4,5,4,5,3,1,2,2,9,3,3,3,3,4,3,3,4,4,3,2,2,1,2,1,1,1,3,3,3,1,4,4,4,4,3,3,3,3,3,4,2,2,4,3,3,3,3,2,2,3,3,4,1,4,2,1,1,3,2,2,1,4,4,4,3,4,3,3,3,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,1,2,3,4,4,3,3,3,2,1,2,3,3,2,2,2,5,6,3,8,8,2,.975609756097561,98
7,1,2,1,4,3,3,3,6,3,3,4,3,3,2,3,3,3,3,1,4,3,4,5,4,5,4,4,3,1,2,1,9,3,4,3,3,4,3,3,4,4,3,2,2,2,2,1,1,2,3,3,3,2,4,3,3, ,3,2,4,2,2,4,3,4,4,3,3,3,3,2,2,3,3,3,1,4,2,1,1,3,2,2,1,4,3,3,4,4,4,4,3,2,2,2,2,3,2,2,2,2,2,2,2,2,5,1,1,1,2,3,3,3,3,3,3,3,2,2,2,4,2,2,2,3,5,3,8,8,2,.75,98
8,1,2,2,3,5,1,2,5,3,3,3,3,3,4,3,3,3,2,1,2,3,5,4,5,4,4,4,3,1,1,1,6,4,4,3,4,4,3,3,4,4,3,2,2,2,2,1,1,1,3,3,3,4,4,3,2, ,2,3,3,2,3,2,3,2,1,3,4,4,4,4,3,3,3,3,1,1,2,99,1,2,3,3,4,4,4,4,4,4,4,4,4,4,3,4,3,3,5,5,5,5,5,5,5,2,2,1,1,1,1,3,3,3,4,3,3,2,1,1,2,4,2,2,2,3,5,3,1,8,2,.853658536585366,2
10,1,2,2,2,5,4,4,5,3,3,4,3,3,2,3,3,3,3,1,4,4,5,4,5,5,5,5,3,1,2,2,5,3,3,3,1,3,3,3,3,3,3,2,2,2,2,1,1,1,3,3,2,3,3,3,4,1,3,3,3,5,3,4,3,3,1,3,2,2,2,2,3,3,3,3,1,2,2,1,3,2,2,2,1,4,4,4,4,4,4,4,3,2,2,2,2,3,2,2,1,2,2,2,2,2,2,1,1,1,2,3,3,3,4,4,4,3,1,1,1,3,2,2,2,4,5,2,11,8,3,.975609756097561,98
11,1,2,1,3,3,1,1,3,1,2,2,3,2,3,3,3,1,2,1,2,2,1,1,1,4,5,4,1,1,2,8,6,3,3,3,3,4,3,2,3,4,3,2,2,2,2,1,1,1,1,1,1,1,3,2,5,4,3,1,1,5,1,5,1,1,3,3,3,3,3,3,1,3,4,2,3,3,1,1,1,1,1,3,1,3,3,3,2,3,3,3,1,1,2,1,2,2,2,1,2,4,4,4,4,1,4,2,1,1,2,1,1,1,2,3,4,3,3,3,3,5,3,2,2,4,4,3,1,8,2,1.2,99
12,1,2,1,3,2,2,2,3,2,2,3,2,3,3,3,1,1,1,5,2,2,5,5,5,5,4,4,2,3,2,2,4,2,2,2,2,2,2,2,2,3,3,2,2,1,2,1,1,2,2,2,2,2,3,3,5,2,2,3,3,3,2,1,3,3,3,3,3,3,3,3,1,2,1,3,2,3,1,1,3,3,1,1,3,3,4,4,2,2,3,3,1,3,2,2,2,2,1,4,4,1,1,1,2,3,2,1,2,1,1,2,2,2,2,1,2,2,1,1,1,1,2,3,4,4,4,2,13,8,1,1.2,2
13,1,2,1,3,3,1,2,3,2,2,2,2,3,3,4,3,3,3,1,2,2,5,5,2,9,4,4,3,1,1,1,5,3,4,2,4,4,3,3,4,4,4,2,2,2,2,1,1,2,3,3,2,1,4,2,3, ,3,3,3,5,2,3,3,2,2,2,5,5,5,5,1,3,3,3,1,3,2,1,1,3,2,2,1,3,2,2,4,4,4,4,2,1,2,2,2,3,1,2,1,2,1,2,2,1,1,1,1,2,2,3,4,3,4,3,4,2,1,1,1,3,2,2,2,4,6,3,15,8,2,1.2,98
15,1,1,2,2,5,2,2,4,2,4,4,4,3,2,3,4,3,3,1,1,2,5,4,5,5,2,1,3,3,3,2,3,4,2,2,3,4,2,1,2,1,3,2,2,2,2,1,1,3,4,1,1,2,1,2,1, ,2,2,3,5,2,1,2,5,3,3,2,1,2,2,1,2,2,1,4,3,4,1,1,3,2,3,2,2,4,1,2,4,3,1,2,2,1,2,2,2,3,1,5,2,1,4,2,2,2,2,1,3,3,1,1,4,3,4,3,2,4,4,3,5,2,3,2,4,5,4,12,1,3,.942857142857143,2
